Months_beginning_Jan_1871,Monthly_years,Monthly_nom_gov_bond_rate,Monthly_nom_margin_rate,Monthly_nom_stock_return,Monthly_CPI,Fed_funds_rate
239,1890.11,0.004132571,0.004074124,-0.019462137,7.897091074,
240,1890.12,-0.000703249,0.003674809,0.05615942,7.897091074,
241,1891.01,0.001874504,0.002668809,0.016184573,7.801941983,
242,1891.02,0.003897735,0.00246627,-0.01462585,7.897091074,
243,1891.03,0.005014705,0.00246627,0.037075537,7.992232066,
244,1891.04,-0.003619606,0.00327374,-0.000335345,8.087381157,
245,1891.05,0.001595496,0.003474495,-0.016498316,7.992232066,
246,1891.06,-0.001729753,0.001651581,-0.012714777,7.801941983,
247,1891.07,0.003441711,0.001241488,0.037386443,7.706792893,
248,1891.08,0.003135068,0.002870899,0.084854632,7.706792893,
249,1891.09,0.000986936,0.010608597,0.00343965,7.611651901,
250,1891.1,0.00314983,0.00327374,-0.011569731,7.611651901,
251,1891.11,0.005128041,0.002870899,0.033968254,7.51650281,
252,1891.12,0.000986989,0.016708964,0.021873075,7.51650281,
253,1892.01,0.002983733,0.001651581,0.005167877,7.326212727,
254,1892.02,0.004051897,0.001651581,0.01424064,7.326212727,
255,1892.03,-0.000549155,0.001651581,0.0015681,7.135922645,
256,1892.04,0.004397328,0.001651581,0.003391682,7.040773554,
257,1892.05,0.005881588,0.001241488,-0.001970377,7.040773554,
258,1892.06,0.000228174,0.001035746,0.003459687,7.040773554,
259,1892.07,0.000523837,0.001241488,0.017925692,7.231071736,
260,1892.08,0.000982208,0.001446765,-0.021451661,7.326212727,
261,1892.09,0.001135713,0.002870899,0.023646594,7.326212727,
262,1892.1,0.003374565,0.004867551,-4.92E-05,7.326212727,
263,1892.11,-0.000311211,0.004074124,-0.007206762,7.51650281,
264,1892.12,0.003242747,0.00797414,0.021778584,7.611651901,
265,1893.01,0.001296806,0.00246627,-0.014248366,7.897091074,
266,1893.02,0.00128949,0.00327374,-0.032642166,7.992232066,
267,1893.03,0.003603176,0.005654145,0.003805712,7.801941983,
268,1893.04,0.0032732,0.004074124,-0.084693974,7.706792893,
269,1893.05,-0.001704477,0.002059836,-0.043316116,7.611651901,
270,1893.06,-0.000410372,0.011714917,-0.08884671,7.421361818,
271,1893.07,0.008103876,0.00797414,-0.019023126,7.231071736,
272,1893.08,0.002296699,0.004074124,0.076117239,6.945632562,
273,1893.09,0.001633698,0.00327374,0.034467963,7.231071736,
274,1893.1,0.006984608,0.001651581,0.020153704,7.326212727,
275,1893.11,0.009098293,0.001241488,-0.030466813,7.135922645,
276,1893.12,-0.001603753,0.0009327,-0.015684051,7.040773554,
277,1894.01,0.005034239,0.000829538,0.018647762,6.850483471,
