Date,Open,High,Low,Close
4/20/1929,25.45,25.45,25.45,25.45
4/22/1929,25.7,25.7,25.7,25.7
4/23/1929,25.85,25.85,25.85,25.85
4/24/1929,25.75,25.75,25.75,25.75
4/25/1929,25.63,25.63,25.63,25.63
4/26/1929,25.58,25.58,25.58,25.58
4/27/1929,25.65,25.65,25.65,25.65
4/29/1929,25.53,25.53,25.53,25.53
4/30/1929,25.94,25.94,25.94,25.94
5/1/1929,25.99,25.99,25.99,25.99
5/2/1929,26.11,26.11,26.11,26.11
5/3/1929,26.37,26.37,26.37,26.37
5/4/1929,26.48,26.48,26.48,26.48
5/6/1929,26.32,26.32,26.32,26.32
5/7/1929,26.07,26.07,26.07,26.07
5/8/1929,26.18,26.18,26.18,26.18
5/9/1929,26.02,26.02,26.02,26.02
5/10/1929,26.34,26.34,26.34,26.34
5/11/1929,26.24,26.24,26.24,26.24
5/13/1929,25.64,25.64,25.64,25.64
5/14/1929,25.95,25.95,25.95,25.95
5/15/1929,25.84,25.84,25.84,25.84
5/16/1929,25.97,25.97,25.97,25.97
5/17/1929,26.09,26.09,26.09,26.09
5/18/1929,26.05,26.05,26.05,26.05
5/20/1929,25.39,25.39,25.39,25.39
5/21/1929,25.7,25.7,25.7,25.7
5/22/1929,24.76,24.76,24.76,24.76
5/23/1929,25.31,25.31,25.31,25.31
5/24/1929,25.12,25.12,25.12,25.12
5/25/1929,25.03,25.03,25.03,25.03
5/27/1929,24.2,24.2,24.2,24.2
5/28/1929,24.59,24.59,24.59,24.59
5/29/1929,24.62,24.62,24.62,24.62
5/31/1929,24.83,24.83,24.83,24.83
6/1/1929,24.92,24.92,24.92,24.92
6/3/1929,25.27,25.27,25.27,25.27
6/4/1929,25.64,25.64,25.64,25.64
6/5/1929,25.59,25.59,25.59,25.59
6/6/1929,25.64,25.64,25.64,25.64
6/7/1929,25.53,25.53,25.53,25.53
6/8/1929,25.39,25.39,25.39,25.39
6/10/1929,25.27,25.27,25.27,25.27
6/11/1929,25.43,25.43,25.43,25.43
6/12/1929,25.45,25.45,25.45,25.45
6/13/1929,25.84,25.84,25.84,25.84
6/14/1929,25.93,25.93,25.93,25.93
6/15/1929,26.05,26.05,26.05,26.05
6/17/1929,26.41,26.41,26.41,26.41
6/18/1929,26.42,26.42,26.42,26.42
6/19/1929,26.32,26.32,26.32,26.32
6/20/1929,26.47,26.47,26.47,26.47
